Code,NCS,Occupation,Slug
DS016,7536.04,Footwear designer फुटवियर डिज़ाइनर,/hi/career/footwear-designer%e0%a4%ab%e0%a5%81%e0%a4%9f%e0%a4%b5%e0%a4%bf%e0%a4%af%e0%a4%b0-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0/
DS017,2144.0803,Product Designer,/career/product-designer/
DS017,2144.0803,उत्पाद डिज़ाइनर Product designer,/hi/career/%e0%a4%89%e0%a4%a4%e0%a5%8d%e0%a4%aa%e0%a4%be%e0%a4%a6-%e0%a4%a1%e0%a4%bf%e0%a4%9c%e0%a4%bc%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a4%b0-product-designer/
E01,NA,Aeronautical Engineer,/career/aeronautical-engineer/
E01,3115.1,एयरोनॉटिकल इंजीनियर (Aeronautical Engineer),/hi/career/%e0%a4%8f%e0%a4%af%e0%a4%b0%e0%a5%8b%e0%a4%a8%e0%a5%89%e0%a4%9f%e0%a4%bf%e0%a4%95%e0%a4%b2-%e0%a4%87%e0%a4%82%e0%a4%9c%e0%a5%80%e0%a4%a8%e0%a4%bf%e0%a4%af%e0%a4%b0-aeronautical-engineer/
E010,2141.19,Dairy Technologist,/career/dairy-technologist/
E010,2141.19,डेयरी टेक्नोलॉजिस्ट (Dairy Technologist),/hi/career/%e0%a4%a1%e0%a5%87%e0%a4%af%e0%a4%b0%e0%a5%80-%e0%a4%9f%e0%a5%87%e0%a4%95%e0%a5%8d%e0%a4%a8%e0%a5%8b%e0%a4%b2%e0%a5%89%e0%a4%9c%e0%a4%bf%e0%a4%b8%e0%a5%8d%e0%a4%9f-dairy-technologist/
E011,2151.0302,Electrical and Electronics Engineer,/career/electrical-and-electronics-engineer/
E011,2151.0302,इलेक्ट्रिकल और इलेक्ट्रॉनिक्स इंजीनियर (Electrical and Electronics Engineer),/hi/career/%e0%a4%87%e0%a4%b2%e0%a5%87%e0%a4%95%e0%a5%8d%e0%a4%9f%e0%a5%8d%e0%a4%b0%e0%a4%bf%e0%a4%95%e0%a4%b2-%e0%a4%94%e0%a4%b0-%e0%a4%87%e0%a4%b2%e0%a5%87%e0%a4%95%e0%a5%8d%e0%a4%9f%e0%a5%8d%e0%a4%b0%e0%a5%89/
E012,2152.02,Electronics and Communication Engineer,/career/electronics-and-communication-engineer/
E012,2152.02,इलेक्ट्रॉनिक्स और कम्न्युकेशन इंजीनियर (Electronics and Communication Engineer),/hi/career/%e0%a4%87%e0%a4%b2%e0%a5%87%e0%a4%95%e0%a5%8d%e0%a4%9f%e0%a5%8d%e0%a4%b0%e0%a5%89%e0%a4%a8%e0%a4%bf%e0%a4%95%e0%a5%8d%e0%a4%b8-%e0%a4%94%e0%a4%b0-%e0%a4%95%e0%a4%ae%e0%a5%8d%e0%a4%a8%e0%a5%8d%e0%a4%af/
E013,NA,Engineering Physicist,/career/engineering-physicist/
E013,NA,इंजीनियरिंग भौतिक विज्ञानी (Engineering Physicist),/hi/career/%e0%a4%87%e0%a4%82%e0%a4%9c%e0%a5%80%e0%a4%a8%e0%a4%bf%e0%a4%af%e0%a4%b0%e0%a4%bf%e0%a4%82%e0%a4%97-%e0%a4%ad%e0%a5%8c%e0%a4%a4%e0%a4%bf%e0%a4%95-%e0%a4%b5%e0%a4%bf%e0%a4%9c%e0%a5%8d%e0%a4%9e%e0%a4%be/
E014,3257.05,Environmental Engineer,/career/environmental-engineer/
E014,3257.05,पर्यावरण इंजीनियर (Environmental Engineer),/hi/career/%e0%a4%aa%e0%a4%b0%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%b5%e0%a4%b0%e0%a4%a3-%e0%a4%87%e0%a4%82%e0%a4%9c%e0%a5%80%e0%a4%a8%e0%a4%bf%e0%a4%af%e0%a4%b0-environmental-engineer/
E015,NA,Financial Engineer,/career/financial-engineer/
E015,NA,वित्तीय इंजीनियर (Financial Engineer),/hi/career/%e0%a4%b5%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%a4%e0%a5%80%e0%a4%af-%e0%a4%87%e0%a4%82%e0%a4%9c%e0%a5%80%e0%a4%a8%e0%a4%bf%e0%a4%af%e0%a4%b0-financial-engineer/
E016,2141.03,Industrial Engineer,/career/industrial-engineer/
E016,2141.03,औद्योगिक इंजीनियर (Industrial Engineer),/hi/career/%e0%a4%94%e0%a4%a6%e0%a5%8d%e0%a4%af%e0%a5%8b%e0%a4%97%e0%a4%bf%e0%a4%95-%e0%a4%87%e0%a4%82%e0%a4%9c%e0%a5%80%e0%a4%a8%e0%a4%bf%e0%a4%af%e0%a4%b0-industrial-engineer/
E017,NA,Information Technology Engineer,/career/information-technology-engineer/
